1234,MT,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,chunk,display_trial_feedback,feedback_dur,feedback_type,hand,is_error,item_dur,iti_dur,number_correct,phase,phase_type,points,recall_dir,response,response_time,run_number,seq_length,seq_str,trial_dur
45,2.5439027,45,45,45,45,45,5,5,,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['1', '4', '1', '4', '4', '3']","[27.694196500000544, 28.038254399987636, 28.310289899993222, 28.99033309999504, 29.24660079999012, 30.23809919998166]",2,6,# # # # # #,None
46,0,46,46,46,46,46,6,6,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],2,6,1 3 1 3 1 3,6
47,3.3841611,47,47,47,47,47,7,7,,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['3', '1', '3', '1', '3', '1']","[38.926292299991474, 39.51027429997339, 39.862389199988684, 41.52643269998953, 42.04624419999891, 42.31045339998673]",2,6,# # # # # #,None
48,0,48,48,48,48,48,8,8,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],2,6,2 1 4 4 4 2,4
49,5.8720281,49,49,49,49,49,9,9,,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['2', '4', '4', '4', '1', '2']","[52.43833169998834, 53.31824090000009, 55.254262699978426, 55.542394699994475, 58.238718999986304, 58.310359800001606]",2,6,# # # # # #,None
50,0,50,50,50,50,50,10,10,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],2,6,3 3 4 1 2 3,6
51,3.4321993,51,51,51,51,51,11,11,,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['3', '2', '1', '4', '3', '3']","[65.55815839997376, 65.70292589999735, 65.87050459999591, 68.11826179997297, 68.80644299997948, 68.99035769997863]",2,6,# # # # # #,None
52,0,52,52,52,52,52,12,12,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],2,6,4 2 2 2 3 1,4
53,4.5360072,53,53,53,53,53,13,13,,,2,TRUE,0.5,acc,right,TRUE,2,1,5,ret,1,5,0,"['1', '3', '2', '2', '4', '4']","[77.8702784999914, 79.03822019998915, 81.08624779997626, 81.3102456999768, 82.20624759999919, 82.4062856999808]",2,6,# # # # # #,None
54,0,54,54,54,54,54,14,14,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],2,6,3 2 2 1 1 4,6
55,1.3680632,55,55,55,55,55,15,15,,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['3', '2', '2', '1', '1', '4']","[89.4861839999794, 89.7183468999865, 89.91021969998837, 90.23027169998386, 90.43827469999087, 90.85424719998264]",2,6,# # # # # #,None
56,0,56,56,56,56,56,16,16,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],2,6,4 3 2 1 2 2,4
57,5.8638923,57,57,57,57,57,17,17,,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,0,"['2', '2', '1', '2', '3', '4']","[100.02234319999116, 100.2307962999912, 102.35827679999056, 103.03824589998112, 105.79831549999653, 105.88623549998738]",2,6,# # # # # #,None
58,0,58,58,58,58,58,18,18,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],2,6,3 1 4 4 2 3,4
59,2.6000939,59,59,59,59,59,19,19,,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['3', '1', '4', '4', '2', '3']","[114.84610969998175, 114.99870450000162, 116.21431789998314, 116.42233879998093, 117.39831399999093, 117.44620359997498]",2,6,# # # # # #,None
60,0,60,60,60,60,60,20,20,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],2,6,1 1 4 4 3 2,6
61,3.4559031,61,61,61,61,61,21,21,,,3,TRUE,0.5,acc,right,TRUE,2,1,5,ret,1,5,0,"['2', '3', '4', '4', '4', '1']","[125.49436139999307, 126.11021859999164, 126.51835329999449, 128.51028209997457, 128.75025599999935, 128.9502644999884]",2,6,# # # # # #,None
62,0,62,62,62,62,62,22,22,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],2,6,4 2 1 2 4 1,4
63,2.6400007,63,63,63,63,63,23,23,,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['4', '2', '1', '2', '4', '1']","[137.7982591999753, 138.52635379999992, 139.35822579998057, 139.44614149999688, 140.31824909997522, 140.4382598999946]",2,6,# # # # # #,None
64,0,64,64,64,64,0,0,,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],3,6,1 3 3 1 2 3,4
65,1.8959274,65,65,65,65,1,1,,,,2,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['1', '3', '3', '1', '2', '3']","[6.901481899985811, 7.173465200001374, 7.965396599989617, 8.085459599999012, 8.725440100010019, 8.797409299993888]",3,6,# # # # # #,None
66,0,66,66,66,66,2,2,,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],3,6,2 3 1 2 2 1,6
67,6.7763328,67,67,67,67,3,3,,,,3,TRUE,0.5,acc,right,TRUE,2,1,2,ret,1,2,0,"['1', '3', '2', '3', '2', '1']","[16.56538129999535, 18.181434800004354, 19.237442699988605, 22.701307100011036, 23.181458799983375, 23.341714100009995]",3,6,# # # # # #,None
68,0,68,68,68,68,4,4,,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],3,6,4 1 3 2 2 1,6
69,1.3120108,69,69,69,69,5,5,,,,3,TRUE,0.5,acc,right,FALSE,2,1,6,ret,1,10,1,"['4', '1', '3', '2', '2', '1']","[30.4295376999944, 30.845549299992854, 31.061475900001824, 31.493518200004473, 31.66147120000096, 31.74154849999468]",3,6,# # # # # #,None
70,0,70,70,70,70,6,6,,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],3,6,3 4 4 3 4 1,4
71,4.9519134,71,71,71,71,7,7,,,,2,TRUE,0.5,acc,right,TRUE,2,1,4,ret,1,4,0,"['1', '4', '4', '3', '4', '3']","[41.0535058999958, 41.949376200005645, 43.74951960000908, 43.86145570001099, 45.93344560000696, 46.00541929999599]",3,6,# # # # # #,None
72,0,72,72,72,72,8,8,,,,3,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,1,[],[],3,6,1 2 2 4 4 3,6
73,2.7600837,73,73,73,73,9,9,,,,3,TRUE,0.5,acc,right,TRUE,2,1,5,ret,1,5,1,"['1', '1', '2', '4', '4', '3']","[52.83732459999737, 53.0214760999952, 53.173533499997575, 55.269453199987765, 55.44542380000348, 55.597408300003735]",3,6,# # # # # #,None
74,0,74,74,74,74,10,10,,,,2,FALSE,0,None,right,FALSE,2,1,0,enc,0,0,0,[],[],3,6,4 4 3 2 3 3,4
75,5.2879086,75,75,75,75,11,11,,,,2,TRUE,0.5,acc,right,TRUE,2,1,4,ret,1,4,0,"['3', '3', '2', '2', '4', '3']","[65.46949170000153, 65.66141309999512, 68.10941360000288, 68.30143779999344, 70.67751899998984, 70.75740030000452]",3,6,# # # # # #,None
